title,assigned_category,url
Robot Learning in Homes: Improving Generalization and Reducing Dataset Bias,Robotics,https://proceedings.neurips.cc/paper_files/paper/2018/hash/febefe1cc5c87748ea02036dbe9e3d67-Abstract.html
Compositional Plan Vectors,"Miscellaneous Aspects of Machine Learning->Transfer, Multitask and Meta-learning",https://proceedings.neurips.cc/paper_files/paper/2019/hash/00989c20ff1386dc386d8124ebcba1a5-Abstract.html
DetNAS: Backbone Search for Object Detection,Deep Learning->Attention Mechanisms,https://proceedings.neurips.cc/paper_files/paper/2019/hash/228b25587479f2fc7570428e8bcbabdc-Abstract.html
Meta-Inverse Reinforcement Learning with Probabilistic Context Variables,Reinforcement Learning->Deep RL,https://proceedings.neurips.cc/paper_files/paper/2019/hash/30de24287a6d8f07b37c716ad51623a7-Abstract.html
Precision-Recall Balanced Topic Modelling,Generative Models->Misc,https://proceedings.neurips.cc/paper_files/paper/2019/hash/310cc7ca5a76a446f85c1a0d641ba96d-Abstract.html
Learning Hawkes Processes from a handful of events,Probabilistic Methods->Variational Inference,https://proceedings.neurips.cc/paper_files/paper/2019/hash/8767bccb1ff4231a9962e3914f4f1f8f-Abstract.html
Paradoxes in Fair Machine Learning,Fairness,https://proceedings.neurips.cc/paper_files/paper/2019/hash/bbc92a647199b832ec90d7cf57074e9e-Abstract.html
Implicit Regularization of Accelerated Methods in Hilbert Spaces,Learning Theory,https://proceedings.neurips.cc/paper_files/paper/2019/hash/c61aed648da48aa3893fb3eaadd88a7f-Abstract.html
Flow-based Image-to-Image Translation with Feature Disentanglement,Generative Models,https://proceedings.neurips.cc/paper_files/paper/2019/hash/ffedf5be3a86e2ee281d54cdc97bc1cf-Abstract.html
Efficient Rematerialization for Deep Networks,Deep Learning->Algorithms,https://proceedings.neurips.cc/paper_files/paper/2019/hash/ffe10334251de1dc98339d99ae4743ba-Abstract.html
Fully Dynamic Consistent Facility Location,"Optimization->Large Scale, Parallel and Distributed",https://proceedings.neurips.cc/paper_files/paper/2019/hash/fface8385abbf94b4593a0ed53a0c70f-Abstract.html
Adaptively Aligned Image Captioning via Adaptive Attention Time,Deep Learning->Attention Mechanisms,https://proceedings.neurips.cc/paper_files/paper/2019/hash/fecc3a370a23d13b1cf91ac3c1e1ca92-Abstract.html
Phase Transitions and Cyclic Phenomena in Bandits with Switching Constraints,Theory->Reinforcement Learning and Planning,https://proceedings.neurips.cc/paper_files/paper/2019/hash/ae31ee951b4d4bfb5518e0fcdc064a83-Abstract.html
Discrete Object Generation with Reversible Inductive Construction,Generative Models,https://proceedings.neurips.cc/paper_files/paper/2019/hash/febefe1cc5c87748ea02036dbe9e3d67-Abstract.html
Random deep neural networks are biased towards simple functions,Deep Learning->Robustness,https://proceedings.neurips.cc/paper_files/paper/2019/hash/feab05aa91085b7a8012516bc3533958-Abstract.html
Leader Stochastic Gradient Descent for Distributed Training of Deep Learning Models,Optimization->Non-Convex,https://proceedings.neurips.cc/paper_files/paper/2019/hash/fea16e782bc1b1240e4b3c797012e289-Abstract.html
Uniform Error Bounds for Gaussian Process Regression with Application to Safe Control,Probabilistic Methods->Gaussian Processes,https://proceedings.neurips.cc/paper_files/paper/2019/hash/fe73f687e5bc5280214e0486b273a5f9-Abstract.html
Biases for Emergent Communication in Multi-agent Reinforcement Learning,Reinforcement Learning->Multi-agent,https://proceedings.neurips.cc/paper_files/paper/2019/hash/fe5e7cb609bdbe6d62449d61849c38b0-Abstract.html
Zero-shot Knowledge Transfer via Adversarial Belief Matching,Deep Learning->Robustness,https://proceedings.neurips.cc/paper_files/paper/2019/hash/fe663a72b27bdc613873fbbb512f6f67-Abstract.html
Multivariate Distributionally Robust Convex Regression under Absolute Error Loss,Deep Learning->Robustness,https://proceedings.neurips.cc/paper_files/paper/2019/hash/fe1f9c70bdf347497e1a01b6c486bdb9-Abstract.html
A Benchmark for Interpretability Methods in Deep Neural Networks,Deep Learning->Representation Learning,https://proceedings.neurips.cc/paper_files/paper/2019/hash/fe4b8556000d0f0cae99daa5c5c5a410-Abstract.html
Leveraging Early-Stage Robustness in Diffusion Models for Efficient and High-Quality Image Synthesis,Generative Models->Diffusion models,https://proceedings.neurips.cc/paper_files/paper/2023/hash/04261fce1705c4f02f062866717d592a-Abstract-Conference.html
Modelling Cellular Perturbations with the Sparse Additive Mechanism Shift Variational Autoencoder,Probabilistic Methods->Variational Inference,https://proceedings.neurips.cc/paper_files/paper/2023/hash/0001ca33ba34ce0351e4612b744b3936-Abstract-Conference.html
GOT: An Optimal Transport framework for Graph comparison,Graph Neural Networks,https://proceedings.neurips.cc/paper_files/paper/2019/hash/fdd5b16fc8134339089ef25b3cf0e588-Abstract.html
SparseProp: Efficient Event-Based Simulation and Training of Sparse Recurrent Spiking Neural Networks,"Neuroscience, Cognitive Science",https://proceedings.neurips.cc/paper_files/paper/2023/hash/0b443d358a391166d1fbf551fb53de02-Abstract-Conference.html
Variational Weighting for Kernel Density Ratios,Probabilistic Methods->Variational Inference,https://proceedings.neurips.cc/paper_files/paper/2023/hash/0ff54b4ec4f70b3ae12c8621ca8a49f4-Abstract-Conference.html
Beyond Uniform Sampling: Offline Reinforcement Learning with Imbalanced Datasets,Reinforcement Learning->Batch Offline,https://proceedings.neurips.cc/paper_files/paper/2023/hash/0ff3502bb29570b219967278db150a50-Abstract-Conference.html
Statistical Limits of Adaptive Linear Models: Low-Dimensional Estimation and Inference,Theory->Domain Adaptation and Transfer Learning,https://proceedings.neurips.cc/paper_files/paper/2023/hash/3368e8f592b0d46ed85def795fd5168f-Abstract-Conference.html
To Stay or Not to Stay in the Pre-train Basin: Insights on Ensembling in Transfer Learning,Theory->Domain Adaptation and Transfer Learning,https://proceedings.neurips.cc/paper_files/paper/2023/hash/336572db3e99930814d6b328d4220cb6-Abstract-Conference.html
Learning Mixtures of Gaussians Using the DDPM Objective,Probabilistic Methods->Gaussian Processes,https://proceedings.neurips.cc/paper_files/paper/2023/hash/3ec077b4af90f2556b517b556e186f64-Abstract-Conference.html
Large Language Models Are Zero-Shot Time Series Forecasters,Language,https://proceedings.neurips.cc/paper_files/paper/2023/hash/3eb7ca52e8207697361b2c0fb3926511-Abstract-Conference.html
StyleTTS 2: Towards Human-Level Text-to-Speech through Style Diffusion and Adversarial Training with Large Speech Language Models,Language->Speech,https://proceedings.neurips.cc/paper_files/paper/2023/hash/3eaad2a0b62b5ed7a2e66c2188bb1449-Abstract-Conference.html
QuACK: Accelerating Gradient-Based Quantum Optimization with Koopman Operator Learning,Optimization->Non-Convex,https://proceedings.neurips.cc/paper_files/paper/2023/hash/5159aaee380391c366b27994ed225e4f-Abstract-Conference.html
"$p$-value Adjustment for Monotonous, Unbiased, and Fast Clustering Comparison",Miscellaneous Aspects of Machine Learning->Unsupervised and Semi-supervised Learning,https://proceedings.neurips.cc/paper_files/paper/2023/hash/563d94819f68cb73d6a382809e587b54-Abstract-Conference.html
Causal de Finetti: On the Identification of Invariant Causal Structure in Exchangeable Data,Causality,https://proceedings.neurips.cc/paper_files/paper/2023/hash/7279908471a7dd4898d2715f7c6a7413-Abstract-Conference.html
Expressive probabilistic sampling in recurrent neural networks,Probabilistic Methods->Monte Carlo and Sampling Methods,https://proceedings.neurips.cc/paper_files/paper/2023/hash/6e2a1a8a037f9a06004fe651054e8938-Abstract-Conference.html
Mixed Samples as Probes for Unsupervised Model Selection in Domain Adaptation,Theory->Domain Adaptation and Transfer Learning,https://proceedings.neurips.cc/paper_files/paper/2023/hash/7721f1fea280e9ffae528dc78c732576-Abstract-Conference.html
OKRidge: Scalable Optimal k-Sparse Ridge Regression,Optimization,https://proceedings.neurips.cc/paper_files/paper/2023/hash/80f48ffa8022773973a4a5cec7cce19c-Abstract-Conference.html
Mirror Diffusion Models for Constrained and Watermarked Generation,Generative Models->Diffusion models,https://proceedings.neurips.cc/paper_files/paper/2023/hash/85f5c7372625d1e0df0e3996f85062d6-Abstract-Conference.html
Tree-Rings Watermarks: Invisible Fingerprints for Diffusion Images,Generative Models->Diffusion models,https://proceedings.neurips.cc/paper_files/paper/2023/hash/b54d1757c190ba20dbc4f9e4a2f54149-Abstract-Conference.html
From Tempered to Benign Overfitting in ReLU Neural Networks,Deep Learning->Robustness,https://proceedings.neurips.cc/paper_files/paper/2023/hash/b52e8c6c1a798fed53ac2e6a5e23ddc8-Abstract-Conference.html
New Complexity-Theoretic Frontiers of Tractability for Neural Network Training,Deep Learning->Theory,https://proceedings.neurips.cc/paper_files/paper/2023/hash/b07091c16719ad3990e3d1ccee6641f1-Abstract-Conference.html
Wide Neural Networks as Gaussian Processes: Lessons from Deep Equilibrium Models,Deep Learning->Theory,https://proceedings.neurips.cc/paper_files/paper/2023/hash/ac24656b0b5f543b202f748d62041637-Abstract-Conference.html
Switching Autoregressive Low-rank Tensor Models,Probabilistic Methods->Variational Inference,https://proceedings.neurips.cc/paper_files/paper/2023/hash/b4e3fea367538ea6b1b5ba6ebf5c39a8-Abstract-Conference.html
Probabilistic Weight Fixing: Large-scale training of neural network weight uncertainties for quantisation.,Probabilistic Methods->Variational Inference,https://proceedings.neurips.cc/paper_files/paper/2023/hash/ba178fab60f9306a0b2d7ec8973715a6-Abstract-Conference.html
Data Augmentations for Improved (Large) Language Model Generalization,Data-centric AI->Data augmentation,https://proceedings.neurips.cc/paper_files/paper/2023/hash/df88b275bef31ac96c85f0c4013734fc-Abstract-Conference.html
Contrastive Sampling Chains in Diffusion Models,Generative Models->Diffusion models,https://proceedings.neurips.cc/paper_files/paper/2023/hash/e8ff788779f2e9e74ccd0d6b84607437-Abstract-Conference.html
A graph similarity for deep learning,Graph Neural Networks,https://proceedings.neurips.cc/paper_files/paper/2020/hash/0004d0b59e19461ff126e3a08a814c33-Abstract.html
Effective Robustness against Natural Distribution Shifts for Models with Different Training Data,Deep Learning->Robustness,https://proceedings.neurips.cc/paper_files/paper/2023/hash/e9000ecb86d45c442a1d38fae68dd8fb-Abstract-Conference.html
Reinforcement Learning with Fast and Forgetful Memory,Reinforcement Learning->Deep RL,https://proceedings.neurips.cc/paper_files/paper/2023/hash/e3bf2f0f10774c474de22a12cb060e2c-Abstract-Conference.html
The Behavior and Convergence of Local Bayesian Optimization,Probabilistic Methods->Gaussian Processes,https://proceedings.neurips.cc/paper_files/paper/2023/hash/e8f4eae0a41cab67fdead3aa6b77f083-Abstract-Conference.html
Graphon Neural Networks and the Transferability of Graph Neural Networks,Graph Neural Networks,https://proceedings.neurips.cc/paper_files/paper/2020/hash/12bcd658ef0a540cabc36cdf2b1046fd-Abstract.html
Predictive inference is free with the jackknife+-after-bootstrap,Learning Theory,https://proceedings.neurips.cc/paper_files/paper/2020/hash/2b346a0aa375a07f5a90a344a61416c4-Abstract.html
PRANK: motion Prediction based on RANKing,Robotics,https://proceedings.neurips.cc/paper_files/paper/2020/hash/1b0251ccb8bd5f9ccf444e4bda7713e3-Abstract.html
Gaussian Process Bandit Optimization of the Thermodynamic Variational Objective,Optimization->Optimization and Learning under Uncertainty,https://proceedings.neurips.cc/paper_files/paper/2020/hash/3f2dff7862a70f97a59a1fa02c3ec110-Abstract.html
Bayesian Bits: Unifying Quantization and Pruning,Optimization,https://proceedings.neurips.cc/paper_files/paper/2020/hash/3f13cf4ddf6fc50c0d39a1d5aeb57dd8-Abstract.html
Improving GAN Training with Probability Ratio Clipping and Sample Reweighting,Generative Models,https://proceedings.neurips.cc/paper_files/paper/2020/hash/3eb46aa5d93b7a5939616af91addfa88-Abstract.html
On Testing of Samplers,Probabilistic Methods->Monte Carlo and Sampling Methods,https://proceedings.neurips.cc/paper_files/paper/2020/hash/3f1656d9668dffcf8119e3ecff873558-Abstract.html
On the Convergence of Smooth Regularized Approximate Value Iteration Schemes,Reinforcement Learning->Function Approximation,https://proceedings.neurips.cc/paper_files/paper/2020/hash/483101a6bc4e6c46a86222eb65fbcb6a-Abstract.html
Exactly Computing the Local Lipschitz Constant of ReLU Networks,Deep Learning->Robustness,https://proceedings.neurips.cc/paper_files/paper/2020/hash/5227fa9a19dce7ba113f50a405dcaf09-Abstract.html
Beyond Value-Function Gaps: Improved Instance-Dependent Regret Bounds for Episodic Reinforcement Learning,Reinforcement Learning->Function Approximation,https://proceedings.neurips.cc/paper_files/paper/2021/hash/000c076c390a4c357313fca29e390ece-Abstract.html
"Overfitting Can Be Harmless for Basis Pursuit, But Only to a Degree",Deep Learning->Theory,https://proceedings.neurips.cc/paper_files/paper/2020/hash/5a66b9200f29ac3fa0ae244cc2a51b39-Abstract.html
Noise2Score: Tweedie’s Approach to Self-Supervised Image Denoising without Clean Images,Deep Learning->Robustness,https://proceedings.neurips.cc/paper_files/paper/2021/hash/077b83af57538aa183971a2fe0971ec1-Abstract.html
Continuous Mean-Covariance Bandits,Optimization->Optimization and Learning under Uncertainty,https://proceedings.neurips.cc/paper_files/paper/2021/hash/07811dc6c422334ce36a09ff5cd6fe71-Abstract.html
Alias-Free Generative Adversarial Networks,Generative Models,https://proceedings.neurips.cc/paper_files/paper/2021/hash/076ccd93ad68be51f23707988e934906-Abstract.html
NeurWIN: Neural Whittle Index Network For Restless Bandits Via Deep RL,Reinforcement Learning->Deep RL,https://proceedings.neurips.cc/paper_files/paper/2021/hash/0768281a05da9f27df178b5c39a51263-Abstract.html
Sageflow: Robust Federated Learning against Both Stragglers and Adversaries,Deep Learning->Robustness,https://proceedings.neurips.cc/paper_files/paper/2021/hash/076a8133735eb5d7552dc195b125a454-Abstract.html
Federated Submodel Optimization for Hot and Cold Data Features,Online Learning,https://proceedings.neurips.cc/paper_files/paper/2022/hash/002262941c9edfd472a79298b2ac5e17-Abstract-Conference.html
Learning Probabilistic Models from Generator Latent Spaces with Hat EBM,Generative Models,https://proceedings.neurips.cc/paper_files/paper/2022/hash/062f9525a7476942f61a6c3b42d0a63f-Abstract-Conference.html
Learning Best Combination for Efficient N:M Sparsity,Data-centric AI->Data augmentation,https://proceedings.neurips.cc/paper_files/paper/2022/hash/06589ec9d86876508600a678f9c8f51d-Abstract-Conference.html
Neural-Symbolic Entangled Framework for Complex Query Answering,Language->Knowledge,https://proceedings.neurips.cc/paper_files/paper/2022/hash/0bcfb525c8f8f07ae10a93d0b2a40e00-Abstract-Conference.html
Online Decision Mediation,Reinforcement Learning->Function Approximation,https://proceedings.neurips.cc/paper_files/paper/2022/hash/0bc795afae289ed465a65a3b4b1f4eb7-Abstract-Conference.html
Lethal Dose Conjecture on Data Poisoning,Deep Learning->Robustness,https://proceedings.neurips.cc/paper_files/paper/2022/hash/0badcb4e95306df76a719409155e46e8-Abstract-Conference.html
Using Partial Monotonicity in Submodular Maximization,Optimization,https://proceedings.neurips.cc/paper_files/paper/2022/hash/1227a7a80529ecfe033065b9fcc5a042-Abstract-Conference.html
Enhanced Meta Reinforcement Learning via Demonstrations in Sparse Reward Environments,Reinforcement Learning->Batch Offline,https://proceedings.neurips.cc/paper_files/paper/2022/hash/122f45f4d451617ac87adf7024ee14cd-Abstract-Conference.html
Communicating Natural Programs to Humans and Machines,Language->Dialogue,https://proceedings.neurips.cc/paper_files/paper/2022/hash/182aed0379591ebd1d655b2bdc152075-Abstract-Datasets_and_Benchmarks.html
Efficiently Factorizing Boolean Matrices using Proximal Gradient Descent,Optimization,https://proceedings.neurips.cc/paper_files/paper/2022/hash/1e8730e2ccd6cefcf70a98dd90d9af6a-Abstract-Conference.html
Learning from Future: A Novel Self-Training Framework for Semantic Segmentation,Deep Learning->Self-Supervised Learning,https://proceedings.neurips.cc/paper_files/paper/2022/hash/1e97fb8a7c9737e9e9f4e0389b25efe8-Abstract-Conference.html
Trajectory balance: Improved credit assignment in GFlowNets,Generative Models,https://proceedings.neurips.cc/paper_files/paper/2022/hash/27b51baca8377a0cf109f6ecc15a0f70-Abstract-Conference.html
SHAQ: Incorporating Shapley Value Theory into Multi-Agent Q-Learning,Reinforcement Learning->Multi-agent,https://proceedings.neurips.cc/paper_files/paper/2022/hash/27985d21f0b751b933d675930aa25022-Abstract-Conference.html
On Privacy and Personalization in Cross-Silo Federated Learning,Privacy,https://proceedings.neurips.cc/paper_files/paper/2022/hash/2788b4cdf421e03650868cc4184bfed8-Abstract-Conference.html
Few-Shot Fast-Adaptive Anomaly Detection,Deep Learning->Robustness,https://proceedings.neurips.cc/paper_files/paper/2022/hash/1fe6f635fe265292aba3987b5123ae3d-Abstract-Conference.html
SegViT: Semantic Segmentation with Plain Vision Transformers,Deep Learning->Attention Mechanisms,https://proceedings.neurips.cc/paper_files/paper/2022/hash/20189b1aaa8edbb6d8bd6c1067ab5f3f-Abstract-Conference.html
FR: Folded Rationalization with a Unified Encoder,Language,https://proceedings.neurips.cc/paper_files/paper/2022/hash/2e0bd92a1d3600d4288df51ac5e6be5f-Abstract-Conference.html
A Consistent and Differentiable Lp Canonical Calibration Error Estimator,Deep Learning->Robustness,https://proceedings.neurips.cc/paper_files/paper/2022/hash/33d6e648ee4fb24acec3a4bbcd4f001e-Abstract-Conference.html
Transform Once: Efficient Operator Learning in Frequency Domain,Deep Learning->Theory,https://proceedings.neurips.cc/paper_files/paper/2022/hash/342339109d7d756ef7bb30cf672aec02-Abstract-Conference.html
Touch and Go: Learning from Human-Collected Vision and Touch,Deep Learning->Self-Supervised Learning,https://proceedings.neurips.cc/paper_files/paper/2022/hash/354892587fe39b17c2b727af02abff4a-Abstract-Datasets_and_Benchmarks.html
INRAS: Implicit Neural Representation for Audio Scenes,Deep Learning->Attention Mechanisms,https://proceedings.neurips.cc/paper_files/paper/2022/hash/35d5ad984cc0ddd84c6f1c177a2066e5-Abstract-Conference.html
Log-Linear-Time Gaussian Processes Using Binary Tree Kernels,Probabilistic Methods->Gaussian Processes,https://proceedings.neurips.cc/paper_files/paper/2022/hash/359ddb9caccb4c54cc915dceeacf4892-Abstract-Conference.html
Recovering Private Text in Federated Learning of Language Models,Deep Learning->Robustness,https://proceedings.neurips.cc/paper_files/paper/2022/hash/35b5c175e139bff5f22a5361270fce87-Abstract-Conference.html
SoLar: Sinkhorn Label Refinery for Imbalanced Partial-Label Learning,Miscellaneous Aspects of Machine Learning->Unsupervised and Semi-supervised Learning,https://proceedings.neurips.cc/paper_files/paper/2022/hash/357a0a771bf65ee07926d6af41b75030-Abstract-Conference.html
DTG-SSOD: Dense Teacher Guidance for Semi-Supervised Object Detection,Miscellaneous Aspects of Machine Learning->Unsupervised and Semi-supervised Learning,https://proceedings.neurips.cc/paper_files/paper/2022/hash/3a02b6df276223b68c69ca572cb3c4a8-Abstract-Conference.html
Wild-Time: A Benchmark of in-the-Wild Distribution Shift over Time,Online Learning,https://proceedings.neurips.cc/paper_files/paper/2022/hash/43119db5d59f07cc08fca7ba6820179a-Abstract-Datasets_and_Benchmarks.html
EcoFormer: Energy-Saving Attention with Linear Complexity,Deep Learning->Attention Mechanisms,https://proceedings.neurips.cc/paper_files/paper/2022/hash/4310ae054ce265e56d8ea897971149b5-Abstract-Conference.html
Reinforced Genetic Algorithm for Structure-based Drug Design,Computational Biology,https://proceedings.neurips.cc/paper_files/paper/2022/hash/4fe1859112230a032c7143a9adc3be78-Abstract-Conference.html
Decision Trees with Short Explainable Rules,Interpretability,https://proceedings.neurips.cc/paper_files/paper/2022/hash/500637d931d4feb99d5cce84af1f53ba-Abstract-Conference.html
Learning Optimal Flows for Non-Equilibrium Importance Sampling,Deep Learning->Theory,https://proceedings.neurips.cc/paper_files/paper/2022/hash/5000f096bed9360a060d835c2a1703bb-Abstract-Conference.html
A Variational Edge Partition Model for Supervised Graph Representation Learning,Graph Neural Networks,https://proceedings.neurips.cc/paper_files/paper/2022/hash/4ffbfbcf4ad7304d57158b046525e46c-Abstract-Conference.html
AD-DROP: Attribution-Driven Dropout for Robust Language Model Fine-Tuning,Deep Learning->Attention Mechanisms,https://proceedings.neurips.cc/paper_files/paper/2022/hash/4fdf8d49476a8001c91f9e9e90530e13-Abstract-Conference.html
Shield Decentralization for Safe Multi-Agent Reinforcement Learning,Reinforcement Learning->Multi-agent,https://proceedings.neurips.cc/paper_files/paper/2022/hash/57444e14ecd9e2c8f603b4f012ce3811-Abstract-Conference.html
SelecMix: Debiased Learning by Contradicting-pair Sampling,Miscellaneous Aspects of Machine Learning->Unsupervised and Semi-supervised Learning,https://proceedings.neurips.cc/paper_files/paper/2022/hash/5c6f928e3fc5f32ee29a1d916b68e6f5-Abstract-Conference.html
Are all Frames Equal? Active Sparse Labeling for Video Action Detection,Computer Vision->Video Understanding,https://proceedings.neurips.cc/paper_files/paper/2022/hash/5c81ea77a383cc2848d721224717fa4b-Abstract-Conference.html
Sample-Efficient Reinforcement Learning of Partially Observable Markov Games,Reinforcement Learning->Function Approximation,https://proceedings.neurips.cc/paper_files/paper/2022/hash/743459dae9b2c5d2904e5432d5298128-Abstract-Conference.html
On Learning and Refutation in Noninteractive Local Differential Privacy,Privacy,https://proceedings.neurips.cc/paper_files/paper/2022/hash/7418d4cfa9c095d8bd06af7deb95ad54-Abstract-Conference.html
"Why So Pessimistic? Estimating Uncertainties for Offline RL through Ensembles, and Why Their Independence Matters",Reinforcement Learning->Batch Offline,https://proceedings.neurips.cc/paper_files/paper/2022/hash/7423902b5534e2b267438c85444a54b1-Abstract-Conference.html
Information-Theoretic GAN Compression with Variational Energy-based Model,Generative Models,https://proceedings.neurips.cc/paper_files/paper/2022/hash/7416573f05b50beac6d0aef3abc805c0-Abstract-Conference.html
Private Synthetic Data for Multitask Learning and Marginal Queries,Datasets and Benchmarks,https://proceedings.neurips.cc/paper_files/paper/2022/hash/7428310c0f97f1c6bb2ef1be99c1ec2a-Abstract-Conference.html
OOD Link Prediction Generalization Capabilities of Message-Passing GNNs in Larger Test Graphs,Graph Neural Networks,https://proceedings.neurips.cc/paper_files/paper/2022/hash/7f88a8478c4ae97819ccffa1e80e7a7b-Abstract-Conference.html
Algorithms with Prediction Portfolios,Optimization->Non-Convex,https://proceedings.neurips.cc/paper_files/paper/2022/hash/7f9220f90cc85b0da693643add6618e6-Abstract-Conference.html
Towards Lightweight Black-Box Attack Against Deep Neural Networks,Deep Learning->Robustness,https://proceedings.neurips.cc/paper_files/paper/2022/hash/7a9745f251508a053425a256490b0665-Abstract-Conference.html
Dungeons and Data: A Large-Scale NetHack Dataset,Datasets and Benchmarks,https://proceedings.neurips.cc/paper_files/paper/2022/hash/9d9258fd703057246cb341e615426e2d-Abstract-Datasets_and_Benchmarks.html
House of Cans: Covert Transmission of Internal Datasets via Capacity-Aware Neuron Steganography,Deep Learning->Robustness,https://proceedings.neurips.cc/paper_files/paper/2022/hash/9d65080f3be61f4dcc5ca4c293308104-Abstract-Conference.html
Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,Language,https://proceedings.neurips.cc/paper_files/paper/2022/hash/9d5609613524ecf4f15af0f7b31abca4-Abstract-Conference.html
