title,url,category,x,y,z
Regularized Nonlinear Acceleration,https://proceedings.neurips.cc/paper_files/paper/2016/hash/bbf94b34eb32268ada57a3be5062fe7d-Abstract.html,Optimization,34.342056,18.151327,-0.29734918
Split LBI: An Iterative Regularization Path with Structural Sparsity,https://proceedings.neurips.cc/paper_files/paper/2016/hash/2451041557a22145b3701b0184109cab-Abstract.html,Deep Learning->Autoencoders,8.506709,18.096926,-1.4358141
Natural-Parameter Networks: A Class of Probabilistic Neural Networks,https://proceedings.neurips.cc/paper_files/paper/2016/hash/fe9fc289c3ff0af142b6d3bead98a923-Abstract.html,Graph Neural Networks,-1.7728968,3.5168817,9.406672
Minimizing Quadratic Functions in Constant Time,https://proceedings.neurips.cc/paper_files/paper/2016/hash/feab05aa91085b7a8012516bc3533958-Abstract.html,Optimization->Convex,19.809237,20.157906,3.4663167
Generalizing to Unseen Domains via Adversarial Data Augmentation,https://proceedings.neurips.cc/paper_files/paper/2018/hash/1d94108e907bb8311d8802b48fd54b4a-Abstract.html,Deep Learning->Robustness,-14.010355,0.13980287,18.44589
Learning to Specialize with Knowledge Distillation for Visual Question Answering,https://proceedings.neurips.cc/paper_files/paper/2018/hash/0f2818101a7ac4b96ceeba38de4b934c-Abstract.html,"Miscellaneous Aspects of Machine Learning->Transfer, Multitask and Meta-learning",-18.047518,-24.001764,5.9612966
Approximate Knowledge Compilation by Online Collapsed Importance Sampling,https://proceedings.neurips.cc/paper_files/paper/2018/hash/4f164cf233807fc02da06599a1264dee-Abstract.html,Probabilistic Methods->Monte Carlo and Sampling Methods,7.5302386,-2.1059685,5.9395375
Wavelet regression and additive models for irregularly spaced data,https://proceedings.neurips.cc/paper_files/paper/2018/hash/bf764716fe1a58cb07f8a377ec25c16d-Abstract.html,Optimization->Non-Convex,10.16766,11.719093,3.1459236
Understanding the Role of Adaptivity in Machine Teaching: The Case of Version Space Learners,https://proceedings.neurips.cc/paper_files/paper/2018/hash/bf62768ca46b6c3b5bea9515d1a1fc45-Abstract.html,Online Learning,18.26894,-5.084693,-4.6347656
Efficient Projection onto the Perfect Phylogeny Model,https://proceedings.neurips.cc/paper_files/paper/2018/hash/d198bd736a97e7cecfdf8f4f2027ef80-Abstract.html,"Optimization->Large Scale, Parallel and Distributed",13.043336,3.8578737,-6.671057
Modern Neural Networks Generalize on Small Data Sets,https://proceedings.neurips.cc/paper_files/paper/2018/hash/fface8385abbf94b4593a0ed53a0c70f-Abstract.html,Deep Learning->Robustness,-6.964123,6.95836,11.864419
Equality of Opportunity in Classification: A Causal Approach,https://proceedings.neurips.cc/paper_files/paper/2018/hash/ff1418e8cc993fe8abcfe3ce2003e5c5-Abstract.html,Fairness,25.229343,-5.0915995,-19.513544
LAG: Lazily Aggregated Gradient for Communication-Efficient Distributed Learning,https://proceedings.neurips.cc/paper_files/paper/2018/hash/feecee9f1643651799ede2740927317a-Abstract.html,"Optimization->Large Scale, Parallel and Distributed",22.575785,8.469948,17.294502
Robot Learning in Homes: Improving Generalization and Reducing Dataset Bias,https://proceedings.neurips.cc/paper_files/paper/2018/hash/febefe1cc5c87748ea02036dbe9e3d67-Abstract.html,Robotics,-0.3570068,-36.754917,-7.379423
Compositional Plan Vectors,https://proceedings.neurips.cc/paper_files/paper/2019/hash/00989c20ff1386dc386d8124ebcba1a5-Abstract.html,"Miscellaneous Aspects of Machine Learning->Transfer, Multitask and Meta-learning",0.8653729,-31.536375,-0.66740584
DetNAS: Backbone Search for Object Detection,https://proceedings.neurips.cc/paper_files/paper/2019/hash/228b25587479f2fc7570428e8bcbabdc-Abstract.html,Deep Learning->Attention Mechanisms,-20.873302,-0.9310653,9.427631
Meta-Inverse Reinforcement Learning with Probabilistic Context Variables,https://proceedings.neurips.cc/paper_files/paper/2019/hash/30de24287a6d8f07b37c716ad51623a7-Abstract.html,Reinforcement Learning->Deep RL,8.683152,-35.365837,-2.1117668
Precision-Recall Balanced Topic Modelling,https://proceedings.neurips.cc/paper_files/paper/2019/hash/310cc7ca5a76a446f85c1a0d641ba96d-Abstract.html,Generative Models->Misc,3.1114159,10.92433,30.414362
Learning Hawkes Processes from a handful of events,https://proceedings.neurips.cc/paper_files/paper/2019/hash/8767bccb1ff4231a9962e3914f4f1f8f-Abstract.html,Probabilistic Methods->Variational Inference,10.798728,-0.54248893,-17.870546
Paradoxes in Fair Machine Learning,https://proceedings.neurips.cc/paper_files/paper/2019/hash/bbc92a647199b832ec90d7cf57074e9e-Abstract.html,Fairness,27.961845,-2.2635472,-16.794426
Implicit Regularization of Accelerated Methods in Hilbert Spaces,https://proceedings.neurips.cc/paper_files/paper/2019/hash/c61aed648da48aa3893fb3eaadd88a7f-Abstract.html,Learning Theory,34.230263,18.840776,0.48490727
Flow-based Image-to-Image Translation with Feature Disentanglement,https://proceedings.neurips.cc/paper_files/paper/2019/hash/ffedf5be3a86e2ee281d54cdc97bc1cf-Abstract.html,Generative Models,-29.49522,3.5732722,-7.8243055
Efficient Rematerialization for Deep Networks,https://proceedings.neurips.cc/paper_files/paper/2019/hash/ffe10334251de1dc98339d99ae4743ba-Abstract.html,Deep Learning->Algorithms,-14.702411,0.77526903,-3.8030736
Fully Dynamic Consistent Facility Location,https://proceedings.neurips.cc/paper_files/paper/2019/hash/fface8385abbf94b4593a0ed53a0c70f-Abstract.html,"Optimization->Large Scale, Parallel and Distributed",13.671058,29.052145,-14.097735
Adaptively Aligned Image Captioning via Adaptive Attention Time,https://proceedings.neurips.cc/paper_files/paper/2019/hash/fecc3a370a23d13b1cf91ac3c1e1ca92-Abstract.html,Deep Learning->Attention Mechanisms,-19.511126,-18.997572,-3.3945866
Phase Transitions and Cyclic Phenomena in Bandits with Switching Constraints,https://proceedings.neurips.cc/paper_files/paper/2019/hash/ae31ee951b4d4bfb5518e0fcdc064a83-Abstract.html,Theory->Reinforcement Learning and Planning,27.884232,-15.161592,4.171228
Discrete Object Generation with Reversible Inductive Construction,https://proceedings.neurips.cc/paper_files/paper/2019/hash/febefe1cc5c87748ea02036dbe9e3d67-Abstract.html,Generative Models,-0.6893693,-1.4733169,-2.715915
Random deep neural networks are biased towards simple functions,https://proceedings.neurips.cc/paper_files/paper/2019/hash/feab05aa91085b7a8012516bc3533958-Abstract.html,Deep Learning->Robustness,-5.5757523,20.302757,12.329445
Leader Stochastic Gradient Descent for Distributed Training of Deep Learning Models,https://proceedings.neurips.cc/paper_files/paper/2019/hash/fea16e782bc1b1240e4b3c797012e289-Abstract.html,Optimization->Non-Convex,22.752352,6.559948,16.150898
Uniform Error Bounds for Gaussian Process Regression with Application to Safe Control,https://proceedings.neurips.cc/paper_files/paper/2019/hash/fe73f687e5bc5280214e0486b273a5f9-Abstract.html,Probabilistic Methods->Gaussian Processes,12.541984,-11.578483,-17.424595
Biases for Emergent Communication in Multi-agent Reinforcement Learning,https://proceedings.neurips.cc/paper_files/paper/2019/hash/fe5e7cb609bdbe6d62449d61849c38b0-Abstract.html,Reinforcement Learning->Multi-agent,-7.4414353,-37.328403,-1.132645
Zero-shot Knowledge Transfer via Adversarial Belief Matching,https://proceedings.neurips.cc/paper_files/paper/2019/hash/fe663a72b27bdc613873fbbb512f6f67-Abstract.html,Deep Learning->Robustness,-10.299242,0.68130827,10.270653
Multivariate Distributionally Robust Convex Regression under Absolute Error Loss,https://proceedings.neurips.cc/paper_files/paper/2019/hash/fe1f9c70bdf347497e1a01b6c486bdb9-Abstract.html,Deep Learning->Robustness,18.080912,11.572837,0.66623193
A Benchmark for Interpretability Methods in Deep Neural Networks,https://proceedings.neurips.cc/paper_files/paper/2019/hash/fe4b8556000d0f0cae99daa5c5c5a410-Abstract.html,Deep Learning->Representation Learning,-7.2401114,-4.928141,5.4260197
Leveraging Early-Stage Robustness in Diffusion Models for Efficient and High-Quality Image Synthesis,https://proceedings.neurips.cc/paper_files/paper/2023/hash/04261fce1705c4f02f062866717d592a-Abstract-Conference.html,Generative Models->Diffusion models,-25.393633,19.134289,-12.833791
Modelling Cellular Perturbations with the Sparse Additive Mechanism Shift Variational Autoencoder,https://proceedings.neurips.cc/paper_files/paper/2023/hash/0001ca33ba34ce0351e4612b744b3936-Abstract-Conference.html,Probabilistic Methods->Variational Inference,-3.9034772,-2.2529385,-9.439952
GOT: An Optimal Transport framework for Graph comparison,https://proceedings.neurips.cc/paper_files/paper/2019/hash/fdd5b16fc8134339089ef25b3cf0e588-Abstract.html,Graph Neural Networks,4.7819376,37.68598,0.39403117
SparseProp: Efficient Event-Based Simulation and Training of Sparse Recurrent Spiking Neural Networks,https://proceedings.neurips.cc/paper_files/paper/2023/hash/0b443d358a391166d1fbf551fb53de02-Abstract-Conference.html,"Neuroscience, Cognitive Science",-0.8599491,-7.574768,-25.84164
Variational Weighting for Kernel Density Ratios,https://proceedings.neurips.cc/paper_files/paper/2023/hash/0ff54b4ec4f70b3ae12c8621ca8a49f4-Abstract-Conference.html,Probabilistic Methods->Variational Inference,7.347993,6.0446677,19.01783
Beyond Uniform Sampling: Offline Reinforcement Learning with Imbalanced Datasets,https://proceedings.neurips.cc/paper_files/paper/2023/hash/0ff3502bb29570b219967278db150a50-Abstract-Conference.html,Reinforcement Learning->Batch Offline,13.2528105,-22.33053,5.6931696
Statistical Limits of Adaptive Linear Models: Low-Dimensional Estimation and Inference,https://proceedings.neurips.cc/paper_files/paper/2023/hash/3368e8f592b0d46ed85def795fd5168f-Abstract-Conference.html,Theory->Domain Adaptation and Transfer Learning,13.619281,15.1179695,-4.854609
To Stay or Not to Stay in the Pre-train Basin: Insights on Ensembling in Transfer Learning,https://proceedings.neurips.cc/paper_files/paper/2023/hash/336572db3e99930814d6b328d4220cb6-Abstract-Conference.html,Theory->Domain Adaptation and Transfer Learning,1.036177,4.216454,24.016209
Learning Mixtures of Gaussians Using the DDPM Objective,https://proceedings.neurips.cc/paper_files/paper/2023/hash/3ec077b4af90f2556b517b556e186f64-Abstract-Conference.html,Probabilistic Methods->Gaussian Processes,15.009152,13.625683,-11.533984
Large Language Models Are Zero-Shot Time Series Forecasters,https://proceedings.neurips.cc/paper_files/paper/2023/hash/3eb7ca52e8207697361b2c0fb3926511-Abstract-Conference.html,Language,0.06612189,0.34807634,-26.022593
StyleTTS 2: Towards Human-Level Text-to-Speech through Style Diffusion and Adversarial Training with Large Speech Language Models,https://proceedings.neurips.cc/paper_files/paper/2023/hash/3eaad2a0b62b5ed7a2e66c2188bb1449-Abstract-Conference.html,Language->Speech,-21.459335,-18.497593,-11.459154
QuACK: Accelerating Gradient-Based Quantum Optimization with Koopman Operator Learning,https://proceedings.neurips.cc/paper_files/paper/2023/hash/5159aaee380391c366b27994ed225e4f-Abstract-Conference.html,Optimization->Non-Convex,8.094497,13.539913,-25.477755
"$p$-value Adjustment for Monotonous, Unbiased, and Fast Clustering Comparison",https://proceedings.neurips.cc/paper_files/paper/2023/hash/563d94819f68cb73d6a382809e587b54-Abstract-Conference.html,Miscellaneous Aspects of Machine Learning->Unsupervised and Semi-supervised Learning,6.3292456,35.60883,-10.734719
Causal de Finetti: On the Identification of Invariant Causal Structure in Exchangeable Data,https://proceedings.neurips.cc/paper_files/paper/2023/hash/7279908471a7dd4898d2715f7c6a7413-Abstract-Conference.html,Causality,9.7034855,-7.779153,-2.7793288
Expressive probabilistic sampling in recurrent neural networks,https://proceedings.neurips.cc/paper_files/paper/2023/hash/6e2a1a8a037f9a06004fe651054e8938-Abstract-Conference.html,Probabilistic Methods->Monte Carlo and Sampling Methods,-3.4380677,-8.767491,-28.316494
Mixed Samples as Probes for Unsupervised Model Selection in Domain Adaptation,https://proceedings.neurips.cc/paper_files/paper/2023/hash/7721f1fea280e9ffae528dc78c732576-Abstract-Conference.html,Theory->Domain Adaptation and Transfer Learning,-11.852517,-8.151137,26.132515
OKRidge: Scalable Optimal k-Sparse Ridge Regression,https://proceedings.neurips.cc/paper_files/paper/2023/hash/80f48ffa8022773973a4a5cec7cce19c-Abstract-Conference.html,Optimization,10.570183,21.615421,-4.2770524
Mirror Diffusion Models for Constrained and Watermarked Generation,https://proceedings.neurips.cc/paper_files/paper/2023/hash/85f5c7372625d1e0df0e3996f85062d6-Abstract-Conference.html,Generative Models->Diffusion models,-19.50933,17.028847,-9.741264
Tree-Rings Watermarks: Invisible Fingerprints for Diffusion Images,https://proceedings.neurips.cc/paper_files/paper/2023/hash/b54d1757c190ba20dbc4f9e4a2f54149-Abstract-Conference.html,Generative Models->Diffusion models,-24.108885,18.63161,14.918811
From Tempered to Benign Overfitting in ReLU Neural Networks,https://proceedings.neurips.cc/paper_files/paper/2023/hash/b52e8c6c1a798fed53ac2e6a5e23ddc8-Abstract-Conference.html,Deep Learning->Robustness,0.98909646,17.152758,-8.0109415
New Complexity-Theoretic Frontiers of Tractability for Neural Network Training,https://proceedings.neurips.cc/paper_files/paper/2023/hash/b07091c16719ad3990e3d1ccee6641f1-Abstract-Conference.html,Deep Learning->Theory,-3.4907613,21.01976,7.7326746
Wide Neural Networks as Gaussian Processes: Lessons from Deep Equilibrium Models,https://proceedings.neurips.cc/paper_files/paper/2023/hash/ac24656b0b5f543b202f748d62041637-Abstract-Conference.html,Deep Learning->Theory,0.62500226,10.323734,0.9000818
Switching Autoregressive Low-rank Tensor Models,https://proceedings.neurips.cc/paper_files/paper/2023/hash/b4e3fea367538ea6b1b5ba6ebf5c39a8-Abstract-Conference.html,Probabilistic Methods->Variational Inference,3.890106,-2.8742454,-20.952147
Probabilistic Weight Fixing: Large-scale training of neural network weight uncertainties for quantisation.,https://proceedings.neurips.cc/paper_files/paper/2023/hash/ba178fab60f9306a0b2d7ec8973715a6-Abstract-Conference.html,Probabilistic Methods->Variational Inference,-1.9511102,3.5611136,13.514609
Data Augmentations for Improved (Large) Language Model Generalization,https://proceedings.neurips.cc/paper_files/paper/2023/hash/df88b275bef31ac96c85f0c4013734fc-Abstract-Conference.html,Data-centric AI->Data augmentation,-14.292122,-23.608738,1.0808841
Contrastive Sampling Chains in Diffusion Models,https://proceedings.neurips.cc/paper_files/paper/2023/hash/e8ff788779f2e9e74ccd0d6b84607437-Abstract-Conference.html,Generative Models->Diffusion models,-22.213556,18.09567,-13.265801
A graph similarity for deep learning,https://proceedings.neurips.cc/paper_files/paper/2020/hash/0004d0b59e19461ff126e3a08a814c33-Abstract.html,Graph Neural Networks,0.1742636,36.60302,-0.48647755
Effective Robustness against Natural Distribution Shifts for Models with Different Training Data,https://proceedings.neurips.cc/paper_files/paper/2023/hash/e9000ecb86d45c442a1d38fae68dd8fb-Abstract-Conference.html,Deep Learning->Robustness,-7.897603,7.9794946,20.778282
Reinforcement Learning with Fast and Forgetful Memory,https://proceedings.neurips.cc/paper_files/paper/2023/hash/e3bf2f0f10774c474de22a12cb060e2c-Abstract-Conference.html,Reinforcement Learning->Deep RL,-4.0318103,-24.837873,-4.5365033
The Behavior and Convergence of Local Bayesian Optimization,https://proceedings.neurips.cc/paper_files/paper/2023/hash/e8f4eae0a41cab67fdead3aa6b77f083-Abstract-Conference.html,Probabilistic Methods->Gaussian Processes,13.350825,-15.725417,16.248615
Graphon Neural Networks and the Transferability of Graph Neural Networks,https://proceedings.neurips.cc/paper_files/paper/2020/hash/12bcd658ef0a540cabc36cdf2b1046fd-Abstract.html,Graph Neural Networks,-4.696827,39.28479,5.2504406
Predictive inference is free with the jackknife+-after-bootstrap,https://proceedings.neurips.cc/paper_files/paper/2020/hash/2b346a0aa375a07f5a90a344a61416c4-Abstract.html,Learning Theory,10.999298,-1.9507304,17.778149
PRANK: motion Prediction based on RANKing,https://proceedings.neurips.cc/paper_files/paper/2020/hash/1b0251ccb8bd5f9ccf444e4bda7713e3-Abstract.html,Robotics,-1.8503085,-27.91753,-18.887775
Gaussian Process Bandit Optimization of the Thermodynamic Variational Objective,https://proceedings.neurips.cc/paper_files/paper/2020/hash/3f2dff7862a70f97a59a1fa02c3ec110-Abstract.html,Optimization->Optimization and Learning under Uncertainty,15.088177,-12.501921,15.059013
Bayesian Bits: Unifying Quantization and Pruning,https://proceedings.neurips.cc/paper_files/paper/2020/hash/3f13cf4ddf6fc50c0d39a1d5aeb57dd8-Abstract.html,Optimization,-25.865297,7.851193,7.17841
Improving GAN Training with Probability Ratio Clipping and Sample Reweighting,https://proceedings.neurips.cc/paper_files/paper/2020/hash/3eb46aa5d93b7a5939616af91addfa88-Abstract.html,Generative Models,-24.20609,7.7143645,-19.321974
On Testing of Samplers,https://proceedings.neurips.cc/paper_files/paper/2020/hash/3f1656d9668dffcf8119e3ecff873558-Abstract.html,Probabilistic Methods->Monte Carlo and Sampling Methods,11.711751,8.321332,-3.7596676
On the Convergence of Smooth Regularized Approximate Value Iteration Schemes,https://proceedings.neurips.cc/paper_files/paper/2020/hash/483101a6bc4e6c46a86222eb65fbcb6a-Abstract.html,Reinforcement Learning->Function Approximation,13.189301,-20.484085,-11.201168
Exactly Computing the Local Lipschitz Constant of ReLU Networks,https://proceedings.neurips.cc/paper_files/paper/2020/hash/5227fa9a19dce7ba113f50a405dcaf09-Abstract.html,Deep Learning->Robustness,-9.509313,19.616236,0.6914666
Beyond Value-Function Gaps: Improved Instance-Dependent Regret Bounds for Episodic Reinforcement Learning,https://proceedings.neurips.cc/paper_files/paper/2021/hash/000c076c390a4c357313fca29e390ece-Abstract.html,Reinforcement Learning->Function Approximation,15.341104,-15.725751,-2.2144148
"Overfitting Can Be Harmless for Basis Pursuit, But Only to a Degree",https://proceedings.neurips.cc/paper_files/paper/2020/hash/5a66b9200f29ac3fa0ae244cc2a51b39-Abstract.html,Deep Learning->Theory,11.4368515,22.570665,1.3024496
Noise2Score: Tweedie’s Approach to Self-Supervised Image Denoising without Clean Images,https://proceedings.neurips.cc/paper_files/paper/2021/hash/077b83af57538aa183971a2fe0971ec1-Abstract.html,Deep Learning->Robustness,-25.56213,20.495491,-7.808729
Continuous Mean-Covariance Bandits,https://proceedings.neurips.cc/paper_files/paper/2021/hash/07811dc6c422334ce36a09ff5cd6fe71-Abstract.html,Optimization->Optimization and Learning under Uncertainty,25.70719,-10.973709,11.641828
Alias-Free Generative Adversarial Networks,https://proceedings.neurips.cc/paper_files/paper/2021/hash/076ccd93ad68be51f23707988e934906-Abstract.html,Generative Models,-25.687492,5.4715734,-11.370495
NeurWIN: Neural Whittle Index Network For Restless Bandits Via Deep RL,https://proceedings.neurips.cc/paper_files/paper/2021/hash/0768281a05da9f27df178b5c39a51263-Abstract.html,Reinforcement Learning->Deep RL,20.916555,-13.409632,2.995473
Sageflow: Robust Federated Learning against Both Stragglers and Adversaries,https://proceedings.neurips.cc/paper_files/paper/2021/hash/076a8133735eb5d7552dc195b125a454-Abstract.html,Deep Learning->Robustness,-7.759248,23.26597,17.281914
Federated Submodel Optimization for Hot and Cold Data Features,https://proceedings.neurips.cc/paper_files/paper/2022/hash/002262941c9edfd472a79298b2ac5e17-Abstract-Conference.html,Online Learning,21.323017,2.4166346,24.61661
Learning Probabilistic Models from Generator Latent Spaces with Hat EBM,https://proceedings.neurips.cc/paper_files/paper/2022/hash/062f9525a7476942f61a6c3b42d0a63f-Abstract-Conference.html,Generative Models,-20.16549,0.8204228,-12.589908
Learning Best Combination for Efficient N:M Sparsity,https://proceedings.neurips.cc/paper_files/paper/2022/hash/06589ec9d86876508600a678f9c8f51d-Abstract-Conference.html,Data-centric AI->Data augmentation,-13.55503,6.8681984,10.314168
Neural-Symbolic Entangled Framework for Complex Query Answering,https://proceedings.neurips.cc/paper_files/paper/2022/hash/0bcfb525c8f8f07ae10a93d0b2a40e00-Abstract-Conference.html,Language->Knowledge,-13.033297,-32.474354,-11.324884
Online Decision Mediation,https://proceedings.neurips.cc/paper_files/paper/2022/hash/0bc795afae289ed465a65a3b4b1f4eb7-Abstract-Conference.html,Reinforcement Learning->Function Approximation,4.761457,-17.6031,6.0627317
Lethal Dose Conjecture on Data Poisoning,https://proceedings.neurips.cc/paper_files/paper/2022/hash/0badcb4e95306df76a719409155e46e8-Abstract-Conference.html,Deep Learning->Robustness,-12.859741,23.315311,16.992987
Using Partial Monotonicity in Submodular Maximization,https://proceedings.neurips.cc/paper_files/paper/2022/hash/1227a7a80529ecfe033065b9fcc5a042-Abstract-Conference.html,Optimization,37.734035,6.119502,-0.16128999
Enhanced Meta Reinforcement Learning via Demonstrations in Sparse Reward Environments,https://proceedings.neurips.cc/paper_files/paper/2022/hash/122f45f4d451617ac87adf7024ee14cd-Abstract-Conference.html,Reinforcement Learning->Batch Offline,3.8984635,-26.3995,1.6316811
Communicating Natural Programs to Humans and Machines,https://proceedings.neurips.cc/paper_files/paper/2022/hash/182aed0379591ebd1d655b2bdc152075-Abstract-Datasets_and_Benchmarks.html,Language->Dialogue,-7.15145,-29.494215,1.574461
Efficiently Factorizing Boolean Matrices using Proximal Gradient Descent,https://proceedings.neurips.cc/paper_files/paper/2022/hash/1e8730e2ccd6cefcf70a98dd90d9af6a-Abstract-Conference.html,Optimization,16.24033,32.8386,1.8563933
Learning from Future: A Novel Self-Training Framework for Semantic Segmentation,https://proceedings.neurips.cc/paper_files/paper/2022/hash/1e97fb8a7c9737e9e9f4e0389b25efe8-Abstract-Conference.html,Deep Learning->Self-Supervised Learning,-22.997658,-10.197837,15.455325
Trajectory balance: Improved credit assignment in GFlowNets,https://proceedings.neurips.cc/paper_files/paper/2022/hash/27b51baca8377a0cf109f6ecc15a0f70-Abstract-Conference.html,Generative Models,-1.1791829,-9.038113,-4.583351
SHAQ: Incorporating Shapley Value Theory into Multi-Agent Q-Learning,https://proceedings.neurips.cc/paper_files/paper/2022/hash/27985d21f0b751b933d675930aa25022-Abstract-Conference.html,Reinforcement Learning->Multi-agent,16.486456,-25.176527,-9.559823
On Privacy and Personalization in Cross-Silo Federated Learning,https://proceedings.neurips.cc/paper_files/paper/2022/hash/2788b4cdf421e03650868cc4184bfed8-Abstract-Conference.html,Privacy,15.685683,-0.9786285,22.062368
Few-Shot Fast-Adaptive Anomaly Detection,https://proceedings.neurips.cc/paper_files/paper/2022/hash/1fe6f635fe265292aba3987b5123ae3d-Abstract-Conference.html,Deep Learning->Robustness,-10.856943,8.634437,28.082933
SegViT: Semantic Segmentation with Plain Vision Transformers,https://proceedings.neurips.cc/paper_files/paper/2022/hash/20189b1aaa8edbb6d8bd6c1067ab5f3f-Abstract-Conference.html,Deep Learning->Attention Mechanisms,-26.35867,-6.7485113,8.598892
FR: Folded Rationalization with a Unified Encoder,https://proceedings.neurips.cc/paper_files/paper/2022/hash/2e0bd92a1d3600d4288df51ac5e6be5f-Abstract-Conference.html,Language,-13.427058,-27.203264,0.4452547
A Consistent and Differentiable Lp Canonical Calibration Error Estimator,https://proceedings.neurips.cc/paper_files/paper/2022/hash/33d6e648ee4fb24acec3a4bbcd4f001e-Abstract-Conference.html,Deep Learning->Robustness,3.6650057,-0.1720706,18.60016
Transform Once: Efficient Operator Learning in Frequency Domain,https://proceedings.neurips.cc/paper_files/paper/2022/hash/342339109d7d756ef7bb30cf672aec02-Abstract-Conference.html,Deep Learning->Theory,-13.056796,5.2770214,-0.703174
Touch and Go: Learning from Human-Collected Vision and Touch,https://proceedings.neurips.cc/paper_files/paper/2022/hash/354892587fe39b17c2b727af02abff4a-Abstract-Datasets_and_Benchmarks.html,Deep Learning->Self-Supervised Learning,-40.576595,-10.148154,-4.6688094
INRAS: Implicit Neural Representation for Audio Scenes,https://proceedings.neurips.cc/paper_files/paper/2022/hash/35d5ad984cc0ddd84c6f1c177a2066e5-Abstract-Conference.html,Deep Learning->Attention Mechanisms,-28.224575,-13.768842,-10.809857
Log-Linear-Time Gaussian Processes Using Binary Tree Kernels,https://proceedings.neurips.cc/paper_files/paper/2022/hash/359ddb9caccb4c54cc915dceeacf4892-Abstract-Conference.html,Probabilistic Methods->Gaussian Processes,8.710883,10.883446,-14.122182
Recovering Private Text in Federated Learning of Language Models,https://proceedings.neurips.cc/paper_files/paper/2022/hash/35b5c175e139bff5f22a5361270fce87-Abstract-Conference.html,Deep Learning->Robustness,9.949815,21.84258,19.670738
SoLar: Sinkhorn Label Refinery for Imbalanced Partial-Label Learning,https://proceedings.neurips.cc/paper_files/paper/2022/hash/357a0a771bf65ee07926d6af41b75030-Abstract-Conference.html,Miscellaneous Aspects of Machine Learning->Unsupervised and Semi-supervised Learning,-3.499988,-4.6417246,21.155651
DTG-SSOD: Dense Teacher Guidance for Semi-Supervised Object Detection,https://proceedings.neurips.cc/paper_files/paper/2022/hash/3a02b6df276223b68c69ca572cb3c4a8-Abstract-Conference.html,Miscellaneous Aspects of Machine Learning->Unsupervised and Semi-supervised Learning,-21.958122,-9.652268,16.493994
Wild-Time: A Benchmark of in-the-Wild Distribution Shift over Time,https://proceedings.neurips.cc/paper_files/paper/2022/hash/43119db5d59f07cc08fca7ba6820179a-Abstract-Datasets_and_Benchmarks.html,Online Learning,-6.628805,-3.7145343,29.851591
